Unnamed: 0,hour,day_of_week,month,is_weekend,day_of_month,set_point_temperature,return_temperature,supply_air_temperature,supply_fan,valve_position,heat_exchanger,heating_supply_temperature,cooling_supply_temperature,cooling_pump,heating_season,ahu_1,ahu_2,ahu_3,ahu_4,ahu_5,ahu_6,ahu_7,ahu_8,label
29278.0,18.0,4.0,4.0,0.0,28.0,26.0,26.2,26.4,1.0,0.0,0.0,41.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
28832.0,4.0,6.0,4.0,1.0,9.0,26.0,26.0,31.0,1.0,0.0,0.0,24.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
47762.0,11.0,6.0,8.0,1.0,6.0,26.0,27.6,21.8,1.0,0.0,0.0,0.0,14.60000038,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
24478.0,15.0,4.0,3.0,0.0,17.0,26.0,26.7,27.9,1.0,0.0,0.0,46.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
38379.0,18.0,5.0,6.0,1.0,17.0,26.2,26.3,24.0,1.0,0.0,0.0,0.0,13.30000019,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
28806.0,2.0,5.0,4.0,1.0,8.0,26.0,24.8,25.6,1.0,0.0,0.0,24.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
62577.0,20.0,6.0,11.0,1.0,12.0,25.7,25.3,26.0,1.0,0.0,0.0,26.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
43207.0,22.0,6.0,7.0,1.0,2.0,25.5,25.3,22.7,1.0,0.0,0.0,0.0,14.30000019,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
65633.0,18.0,0.0,12.0,0.0,4.0,26.0,26.3,26.8,1.0,0.0,0.0,26.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
43466.0,17.0,3.0,7.0,0.0,13.0,25.5,24.9,22.5,1.0,0.0,0.0,0.0,14.30000019,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
52773.0,7.0,5.0,9.0,1.0,9.0,25.7,25.7,23.8,1.0,0.0,0.0,0.0,13.60000038,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
11323.0,23.0,1.0,1.0,0.0,3.0,25.0,25.6,29.6,1.0,0.0,1.0,53.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
58179.0,5.0,3.0,10.0,0.0,19.0,25.6,26.3,27.0,1.0,0.0,0.0,0.0,38.70000076,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
38128.0,7.0,2.0,6.0,0.0,7.0,26.2,26.5,26.3,1.0,0.0,0.0,0.0,12.30000019,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
52660.0,14.0,0.0,9.0,0.0,4.0,25.7,27.0,23.2,1.0,0.0,0.0,0.0,14.60000038,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
12127.0,4.0,4.0,5.0,0.0,5.0,26.0,26.9,27.8,1.0,0.0,1.0,46.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
47997.0,6.0,0.0,8.0,0.0,21.0,26.0,26.1,23.8,1.0,0.0,0.0,0.0,14.60000038,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
19768.0,21.0,6.0,2.0,1.0,12.0,25.0,25.3,28.6,1.0,0.0,1.0,56.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
29059.0,15.0,2.0,4.0,0.0,19.0,26.0,27.6,28.2,1.0,0.0,0.0,39.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
