Unnamed: 0,hour,day_of_week,month,is_weekend,day_of_month,set_point_temperature,return_temperature,supply_air_temperature,supply_fan,valve_position,heat_exchanger,heating_supply_temperature,cooling_supply_temperature,cooling_pump,heating_season,ahu_1,ahu_2,ahu_3,ahu_4,ahu_5,ahu_6,ahu_7,ahu_8,label
17544.0,0.0,3.0,2.0,0.0,9.0,19.0,16.9,31.1,0.0,30.0,1.0,57.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
14430.0,14.0,3.0,1.0,0.0,26.0,19.0,18.5,31.7,1.0,6.0,1.0,56.4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
50272.0,2.0,0.0,9.0,0.0,25.0,25.6,25.5,25.4,0.0,0.0,0.0,0.0,21.29999924,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
35735.0,13.0,1.0,6.0,0.0,27.0,24.5,25.6,20.7,1.0,12.0,0.0,0.0,14.10000038,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
63912.0,0.0,2.0,12.0,0.0,6.0,19.6,16.7,31.6,0.0,30.0,1.0,56.7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
45741.0,6.0,3.0,8.0,0.0,31.0,26.0,25.4,24.9,0.0,0.0,0.0,0.0,14.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
17570.0,2.0,5.0,2.0,1.0,11.0,19.0,16.9,28.3,0.0,30.0,1.0,51.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
40732.0,19.0,6.0,7.0,1.0,23.0,25.6,25.9,25.7,0.0,0.0,0.0,0.0,13.80000019,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
49919.0,9.0,6.0,9.0,1.0,10.0,25.6,26.2,25.8,0.0,0.0,0.0,0.0,14.30000019,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
35262.0,20.0,2.0,6.0,0.0,7.0,24.5,23.7,23.0,0.0,0.0,0.0,0.0,12.30000019,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
60204.0,19.0,2.0,11.0,0.0,22.0,21.0,18.9,24.3,0.0,30.0,0.0,25.1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
35260.0,18.0,2.0,6.0,0.0,7.0,24.5,23.7,20.6,0.0,10.0,0.0,0.0,12.10000038,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
